Rank,Team,Wins,Losses,Perc,Sets Played,Kills,Errors,Attempts,Perc,,,,,,,,,,,
1,Nebraska,22,0,1,72,1040,291,2212,0.339,,,,,,,,,,,
2,Xavier,22,2,0.917,90,1206,416,3105,0.254,,,,,,,,,,,
3,Hofstra,18,2,0.9,72,1025,359,2491,0.267,,,,,,,,,,,
-,Kentucky,18,2,0.9,70,1039,317,2511,0.288,,,,,,,,,,,
-,Texas,18,2,0.9,72,1078,327,2443,0.307,,,,,,,,,,,
6,UTEP,21,3,0.875,81,1107,337,2561,0.301,,,,,,,,,,,
7,Colorado,20,3,0.87,87,1142,402,2865,0.258,,,,,,,,,,,
-,Stanford,20,3,0.87,81,1155,331,2730,0.302,,,,,,,,,,,
9,Arizona St.,19,3,0.864,80,1064,363,2623,0.267,,,,,,,,,,,
-,Pittsburgh,19,3,0.864,85,1155,361,2659,0.299,,,,,,,,,,,
-,Purdue,19,3,0.864,86,1193,380,2839,0.286,,,,,,,,,,,
-,Texas A&M,19,3,0.864,79,1130,379,2635,0.285,,,,,,,,,,,
13,South Dakota St.,18,3,0.857,79,1024,401,2776,0.224,,,,,,,,,,,
14,Miami (FL),20,4,0.833,92,1197,457,2846,0.26,,,,,,,,,,,
15,American,19,4,0.826,81,1054,306,2620,0.285,,,,,,,,,,,
16,Indiana,18,4,0.818,76,1043,339,2397,0.294,,,,,,,,,,,
-,Iowa St.,18,4,0.818,83,1186,441,2905,0.256,,,,,,,,,,,
-,Louisville,18,4,0.818,81,1117,364,2878,0.262,,,,,,,,,,,
-,San Diego,18,4,0.818,90,1147,388,2880,0.264,,,,,,,,,,,
20,North Carolina,17,4,0.81,82,1094,400,2691,0.258,,,,,,,,,,,
-,Wisconsin,17,4,0.81,70,1001,302,2299,0.304,,,,,,,,,,,
22,Towson,20,5,0.8,99,1401,527,3616,0.242,,,,,,,,,,,
-,UNI,20,5,0.8,83,1234,438,3203,0.249,,,,,,,,,,,
-,Western Ky.,20,5,0.8,80,1151,339,2654,0.306,,,,,,,,,,,
25,Cal Poly,19,5,0.792,84,1113,331,2788,0.28,,,,,,,,,,,
-,Creighton,19,5,0.792,83,1146,403,2717,0.273,,,,,,,,,,,
-,Fairfield,19,5,0.792,90,1217,376,3010,0.279,,,,,,,,,,,
-,Northern Ariz.,19,5,0.792,89,1160,369,3305,0.239,,,,,,,,,,,
29,Campbell,18,5,0.783,83,1116,391,2760,0.263,,,,,,,,,,,
-,ETSU,18,5,0.783,84,1083,411,2812,0.239,,,,,,,,,,,
-,Ga. Southern,18,5,0.783,87,1140,385,3179,0.237,,,,,,,,,,,
32,SMU,17,5,0.773,85,1163,355,2745,0.294,,,,,,,,,,,
-,Southern California,17,5,0.773,81,1095,388,2852,0.248,,,,,,,,,,,
34,Tennessee,16,5,0.762,76,1061,347,2472,0.289,,,,,,,,,,,
-,Utah Tech,16,5,0.762,75,1002,396,2676,0.226,,,,,,,,,,,
36,Dayton,19,6,0.76,87,1136,387,3004,0.249,,,,,,,,,,,
-,North Texas,19,6,0.76,96,1292,589,3417,0.206,,,,,,,,,,,
-,Valparaiso,19,6,0.76,96,1361,529,3728,0.223,,,,,,,,,,,
39,BYU,18,6,0.75,89,1240,455,2974,0.264,,,,,,,,,,,
-,Jacksonville,18,6,0.75,88,1137,412,2938,0.247,,,,,,,,,,,
-,James Madison,18,6,0.75,95,1336,463,3260,0.268,,,,,,,,,,,
-,Southeastern La.,18,6,0.75,81,1102,392,2845,0.25,,,,,,,,,,,
-,Tulsa,18,6,0.75,85,1192,392,3023,0.265,,,,,,,,,,,
-,Villanova,18,6,0.75,92,1261,446,3124,0.261,,,,,,,,,,,
-,UC Davis,15,5,0.75,74,959,383,2570,0.224,,,,,,,,,,,
46,Long Beach St.,17,6,0.739,86,1178,459,2992,0.24,,,,,,,,,,,
-,Morehead St.,17,6,0.739,78,1076,360,2879,0.249,,,,,,,,,,,
48,Army West Point,16,6,0.727,84,1136,514,3147,0.198,,,,,,,,,,,
-,Colorado St.,16,6,0.727,84,1114,416,2811,0.248,,,,,,,,,,,
-,Eastern Ill.,16,6,0.727,83,1117,434,3150,0.217,,,,,,,,,,,
-,Kennesaw St.,16,6,0.727,84,1143,432,2844,0.25,,,,,,,,,,,
-,Michigan St.,16,6,0.727,83,1102,429,2753,0.244,,,,,,,,,,,
53,Liberty,18,7,0.72,99,1294,431,3335,0.259,,,,,,,,,,,
54,Winthrop,15,6,0.714,83,1118,418,3017,0.232,,,,,,,,,,,
55,Eastern Ky.,17,7,0.708,92,1250,435,3172,0.257,,,,,,,,,,,
-,Furman,17,7,0.708,90,1173,428,3240,0.23,,,,,,,,,,,
-,Minnesota,17,7,0.708,86,1103,340,2766,0.276,,,,,,,,,,,
-,UC Santa Barbara,17,7,0.708,94,1268,479,3157,0.25,,,,,,,,,,,
-,UConn,17,7,0.708,88,1146,416,2793,0.261,,,,,,,,,,,
60,Arkansas St.,16,7,0.696,89,1156,409,3026,0.247,,,,,,,,,,,
-,Auburn,16,7,0.696,81,1047,345,2767,0.254,,,,,,,,,,,
-,SFA,16,7,0.696,85,1156,393,2950,0.259,,,,,,,,,,,
-,TCU,16,7,0.696,86,1155,439,3107,0.23,,,,,,,,,,,
-,UTRGV,16,7,0.696,83,1113,354,2800,0.271,,,,,,,,,,,
65,Toledo,18,8,0.692,101,1295,503,3599,0.22,,,,,,,,,,,
66,Georgia,15,7,0.682,82,1027,364,2695,0.246,,,,,,,,,,,
-,Mississippi St.,15,7,0.682,79,1054,377,2725,0.248,,,,,,,,,,,
-,Pepperdine,15,7,0.682,82,1002,387,2777,0.221,,,,,,,,,,,
-,St. Thomas (MN),15,7,0.682,79,1149,388,2915,0.261,,,,,,,,,,,
-,UIC,15,7,0.682,86,1180,477,3024,0.232,,,,,,,,,,,
-,Utah St.,15,7,0.682,83,1138,436,2737,0.256,,,,,,,,,,,
72,Fla. Atlantic,17,8,0.68,89,1246,456,3281,0.241,,,,,,,,,,,
-,Kansas,17,8,0.68,97,1291,469,3370,0.244,,,,,,,,,,,
-,Northern Ky.,17,8,0.68,92,1231,476,3345,0.226,,,,,,,,,,,
75,Coastal Carolina,16,8,0.667,87,1087,430,2982,0.22,,,,,,,,,,,
-,Colgate,16,8,0.667,94,1163,389,3044,0.254,,,,,,,,,,,
-,Missouri,16,8,0.667,93,1234,453,3179,0.246,,,,,,,,,,,
-,South Dakota,16,8,0.667,92,1269,470,3391,0.236,,,,,,,,,,,
-,Wichita St.,16,8,0.667,92,1249,463,3280,0.24,,,,,,,,,,,
-,Oregon St.,14,7,0.667,75,1011,368,2563,0.251,,,,,,,,,,,
-,Washington St.,14,7,0.667,77,1034,417,2630,0.235,,,,,,,,,,,
-,Princeton,12,6,0.667,67,920,287,2289,0.277,,,,,,,,,,,
83,Ball St.,17,9,0.654,103,1381,474,3511,0.258,,,,,,,,,,,
84,Boise St.,15,8,0.652,90,1198,500,3387,0.206,,,,,,,,,,,
-,Col. of Charleston,15,8,0.652,93,1147,460,3261,0.211,,,,,,,,,,,
-,Denver,15,8,0.652,89,1159,451,2819,0.251,,,,,,,,,,,
-,FGCU,15,8,0.652,97,1307,473,3341,0.25,,,,,,,,,,,
-,Grand Canyon,15,8,0.652,86,1090,431,3086,0.214,,,,,,,,,,,
-,Michigan,15,8,0.652,83,1127,373,2684,0.281,,,,,,,,,,,
-,Rice,15,8,0.652,79,1056,371,2902,0.236,,,,,,,,,,,
-,Sacramento St.,15,8,0.652,83,1070,363,2683,0.264,,,,,,,,,,,
-,Saint Francis,15,8,0.652,90,1194,502,2895,0.239,,,,,,,,,,,
93,Cornell,13,7,0.65,75,1000,354,2519,0.256,,,,,,,,,,,
94,Alabama A&M,16,9,0.64,95,1173,513,3159,0.209,,,,,,,,,,,
-,FDU,16,9,0.64,92,1114,464,3113,0.209,,,,,,,,,,,
-,FIU,16,9,0.64,93,1246,475,3271,0.236,,,,,,,,,,,
-,Queens (NC),16,9,0.64,96,1282,524,3524,0.215,,,,,,,,,,,
98,LIU,14,8,0.636,79,1038,417,2639,0.235,,,,,,,,,,,
-,Montana,14,8,0.636,85,1164,444,3179,0.226,,,,,,,,,,,
-,Oklahoma,14,8,0.636,85,1129,450,2678,0.254,,,,,,,,,,,
-,West Virginia,14,8,0.636,86,1066,369,2654,0.263,,,,,,,,,,,
102,Brown,12,7,0.632,69,887,358,2387,0.222,,,,,,,,,,,
-,Kansas St.,12,7,0.632,73,960,394,2580,0.219,,,,,,,,,,,
104,Boston College,15,9,0.625,87,1065,416,2770,0.234,,,,,,,,,,,
-,Charlotte,15,9,0.625,87,1124,371,3165,0.238,,,,,,,,,,,
-,Northwestern,15,9,0.625,92,1158,429,2977,0.245,,,,,,,,,,,
107,Florida,13,8,0.619,84,1143,432,2910,0.244,,,,,,,,,,,
-,North Dakota St.,13,8,0.619,73,906,410,2405,0.206,,,,,,,,,,,
109,IU Indy,16,10,0.615,96,1344,503,3322,0.253,,,,,,,,,,,
110,Belmont,14,9,0.609,86,1086,360,2862,0.254,,,,,,,,,,,
-,Georgia St.,14,9,0.609,87,1141,521,3115,0.199,,,,,,,,,,,
-,South Fla.,14,9,0.609,85,1156,458,2945,0.237,,,,,,,,,,,
-,Southern Miss.,14,9,0.609,78,1037,396,2939,0.218,,,,,,,,,,,
-,UNC Greensboro,14,9,0.609,91,1165,441,3282,0.221,,,,,,,,,,,
115,Coppin St.,17,11,0.607,109,1378,604,3706,0.209,,,,,,,,,,,
116,Duquesne,15,10,0.6,93,1250,486,3352,0.228,,,,,,,,,,,
-,George Mason,15,10,0.6,100,1223,556,3289,0.203,,,,,,,,,,,
-,Wright St.,15,10,0.6,96,1270,551,3442,0.209,,,,,,,,,,,
-,Baylor,12,8,0.6,78,1041,410,2697,0.234,,,,,,,,,,,
-,Cincinnati,12,8,0.6,77,987,304,2644,0.258,,,,,,,,,,,
-,Tarleton St.,12,8,0.6,78,939,396,2516,0.216,,,,,,,,,,,
122,Lamar University,16,11,0.593,104,1254,444,3790,0.214,,,,,,,,,,,
123,Arizona,13,9,0.591,80,1086,422,2891,0.23,,,,,,,,,,,
-,Florida St.,13,9,0.591,87,1121,419,2988,0.235,,,,,,,,,,,
-,High Point,13,9,0.591,86,1097,435,2924,0.226,,,,,,,,,,,
-,Howard,13,9,0.591,89,1125,455,2908,0.23,,,,,,,,,,,
-,Marquette,13,9,0.591,84,1106,402,2861,0.246,,,,,,,,,,,
-,Oregon,13,9,0.591,83,1091,413,2637,0.257,,,,,,,,,,,
-,Penn St.,13,9,0.591,86,1150,446,2843,0.248,,,,,,,,,,,
-,Syracuse,13,9,0.591,83,1058,430,3035,0.207,,,,,,,,,,,
-,UCF,13,9,0.591,81,1086,426,2722,0.242,,,,,,,,,,,
-,UCLA,13,9,0.591,79,1038,422,2718,0.227,,,,,,,,,,,
-,Weber St.,13,9,0.591,78,1006,388,2619,0.236,,,,,,,,,,,
134,CSUN,14,10,0.583,97,1224,501,3364,0.215,,,,,,,,,,,
-,Clemson,14,10,0.583,88,1131,462,3145,0.213,,,,,,,,,,,
136,George Washington,15,11,0.577,102,1325,559,3490,0.219,,,,,,,,,,,
-,Prairie View,15,11,0.577,96,1174,454,3243,0.222,,,,,,,,,,,
-,Quinnipiac,15,11,0.577,99,1330,657,3698,0.182,,,,,,,,,,,
-,Temple,15,11,0.577,97,1228,542,3586,0.191,,,,,,,,,,,
140,Georgia Tech,12,9,0.571,79,1026,431,2530,0.235,,,,,,,,,,,
-,Gonzaga,12,9,0.571,83,1072,423,2771,0.234,,,,,,,,,,,
-,Illinois,12,9,0.571,77,1017,401,2696,0.228,,,,,,,,,,,
-,Santa Clara,12,9,0.571,87,1135,477,2834,0.232,,,,,,,,,,,
-,Utah Valley,12,9,0.571,76,947,401,2521,0.217,,,,,,,,,,,
145,App State,13,10,0.565,98,1253,498,3403,0.222,,,,,,,,,,,
-,South Alabama,13,10,0.565,91,1197,479,3149,0.228,,,,,,,,,,,
-,Wofford,13,10,0.565,79,941,363,2786,0.207,,,,,,,,,,,
148,Akron,14,11,0.56,102,1344,560,3632,0.216,,,,,,,,,,,
-,Bryant,14,11,0.56,95,1248,515,3301,0.222,,,,,,,,,,,
-,Charleston So.,14,11,0.56,93,1150,496,3447,0.19,,,,,,,,,,,
-,Marshall,14,11,0.56,90,1099,425,3157,0.213,,,,,,,,,,,
-,New Mexico St.,14,11,0.56,95,1194,584,3318,0.184,,,,,,,,,,,
